parameter_name,parameter_value
1_player_count,20
2_player_count,20
3_player_count,20
Row_1,1
DL_1 ($),0
DR_1 ($),1.1173184357541899
UR_0 ($),0
DR_0 ($),1.1173184357541899
Finite,1
ContRule,0
Exchange,895
Eq,3
Eq_1_U,1
Eq_1_L,1
Eq_2_U,0
Eq_2_L,0
