match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Charness et al._2007_55,Charness et al._2007,1,10,15,Charness et al._2007_61,Charness et al._2007_63,4,1,1514_1515
Charness et al._2007_56,Charness et al._2007,1,10,15,Charness et al._2007_62,Charness et al._2007_64,2,3,1564_1565
Charness et al._2007_57,Charness et al._2007,1,10,16,Charness et al._2007_49,Charness et al._2007_51,3,2,1215_1216
Charness et al._2007_58,Charness et al._2007,1,10,16,Charness et al._2007_50,Charness et al._2007_52,1,3,1240_1241
Charness et al._2007_59,Charness et al._2007,1,10,16,Charness et al._2007_53,Charness et al._2007_55,1,4,1315_1316
Charness et al._2007_60,Charness et al._2007,1,10,16,Charness et al._2007_54,Charness et al._2007_56,1,3,1340_1341
Charness et al._2007_61,Charness et al._2007,1,10,16,Charness et al._2007_57,Charness et al._2007_58,3,2,1415_1416
Charness et al._2007_62,Charness et al._2007,1,10,16,Charness et al._2007_59,Charness et al._2007_60,4,2,1440_1441
Charness et al._2007_63,Charness et al._2007,1,10,16,Charness et al._2007_61,Charness et al._2007_64,1,3,1515_1516
Charness et al._2007_64,Charness et al._2007,1,10,16,Charness et al._2007_62,Charness et al._2007_63,1,3,1540_1541
Charness et al._2007_65,Charness et al._2007,1,10,17,Charness et al._2007_49,Charness et al._2007_51,2,4,1216_1217
Charness et al._2007_66,Charness et al._2007,1,10,17,Charness et al._2007_50,Charness et al._2007_52,3,1,1241_1242
Charness et al._2007_67,Charness et al._2007,1,10,17,Charness et al._2007_53,Charness et al._2007_54,3,2,1316_1317
Charness et al._2007_68,Charness et al._2007,1,10,17,Charness et al._2007_55,Charness et al._2007_56,2,4,1366_1367
Charness et al._2007_69,Charness et al._2007,1,10,17,Charness et al._2007_57,Charness et al._2007_58,1,4,1416_1417
Charness et al._2007_70,Charness et al._2007,1,10,17,Charness et al._2007_59,Charness et al._2007_60,2,3,1441_1442
Charness et al._2007_71,Charness et al._2007,1,10,17,Charness et al._2007_61,Charness et al._2007_64,3,1,1516_1517
Charness et al._2007_72,Charness et al._2007,1,10,17,Charness et al._2007_62,Charness et al._2007_63,1,4,1541_1542
Charness et al._2007_73,Charness et al._2007,1,10,18,Charness et al._2007_49,Charness et al._2007_52,2,3,1217_1218
Charness et al._2007_74,Charness et al._2007,1,10,18,Charness et al._2007_50,Charness et al._2007_51,1,3,1242_1243
Charness et al._2007_75,Charness et al._2007,1,10,18,Charness et al._2007_53,Charness et al._2007_55,2,3,1317_1318
Charness et al._2007_76,Charness et al._2007,1,10,18,Charness et al._2007_54,Charness et al._2007_56,2,4,1342_1343
Charness et al._2007_77,Charness et al._2007,1,10,18,Charness et al._2007_57,Charness et al._2007_58,3,2,1417_1418
Charness et al._2007_78,Charness et al._2007,1,10,18,Charness et al._2007_59,Charness et al._2007_60,3,1,1442_1443
Charness et al._2007_79,Charness et al._2007,1,10,18,Charness et al._2007_61,Charness et al._2007_64,1,4,1517_1518
Charness et al._2007_80,Charness et al._2007,1,10,18,Charness et al._2007_62,Charness et al._2007_63,2,4,1542_1543
Charness et al._2007_81,Charness et al._2007,1,10,19,Charness et al._2007_49,Charness et al._2007_52,2,3,1218_1219
Charness et al._2007_82,Charness et al._2007,1,10,19,Charness et al._2007_50,Charness et al._2007_51,4,2,1243_1244
Charness et al._2007_83,Charness et al._2007,1,10,19,Charness et al._2007_53,Charness et al._2007_55,2,4,1318_1319
Charness et al._2007_84,Charness et al._2007,1,10,19,Charness et al._2007_54,Charness et al._2007_56,4,2,1343_1344
Charness et al._2007_85,Charness et al._2007,1,10,19,Charness et al._2007_57,Charness et al._2007_58,3,2,1418_1419
Charness et al._2007_86,Charness et al._2007,1,10,19,Charness et al._2007_59,Charness et al._2007_60,2,4,1443_1444
Charness et al._2007_87,Charness et al._2007,1,10,19,Charness et al._2007_61,Charness et al._2007_64,1,4,1518_1519
Charness et al._2007_88,Charness et al._2007,1,10,19,Charness et al._2007_62,Charness et al._2007_63,1,3,1543_1544
Charness et al._2007_89,Charness et al._2007,1,10,2,Charness et al._2007_49,Charness et al._2007_50,3,1,1201_1202
Charness et al._2007_90,Charness et al._2007,1,10,2,Charness et al._2007_51,Charness et al._2007_52,1,3,1251_1252
Charness et al._2007_91,Charness et al._2007,1,10,2,Charness et al._2007_53,Charness et al._2007_54,2,4,1301_1302
