parameter_name,parameter_value
9_player_count,41
8_player_count,25
7_player_count,25
4_player_count,33
6_player_count,33
5_player_count,49
3_player_count,25
1_player_count,41
2_player_count,25
Id_2,
Row_1,1
UR_1 ($),0
DL_1 ($),20
UR_0 ($),20
DL_0 ($),0
Choice_2,
Payoff ($),
Finite,1
ContRule,0
Exchange,
Eq,1
Eq_1_U,0
Eq_1_L,0
