match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Duffy_Feltovich_2006_1,Duffy_Feltovich_2006,1,10,1,Duffy_Feltovich_2006_1,Duffy_Feltovich_2006_10,4,2,60_61
Duffy_Feltovich_2006_2,Duffy_Feltovich_2006,1,10,1,Duffy_Feltovich_2006_11,Duffy_Feltovich_2006_19,4,1,66_67
Duffy_Feltovich_2006_3,Duffy_Feltovich_2006,1,10,1,Duffy_Feltovich_2006_12,Duffy_Feltovich_2006_15,3,2,70_71
Duffy_Feltovich_2006_4,Duffy_Feltovich_2006,1,10,1,Duffy_Feltovich_2006_14,Duffy_Feltovich_2006_18,1,4,69_70
Duffy_Feltovich_2006_5,Duffy_Feltovich_2006,1,10,1,Duffy_Feltovich_2006_2,Duffy_Feltovich_2006_16,1,4,74_75
Duffy_Feltovich_2006_6,Duffy_Feltovich_2006,1,10,1,Duffy_Feltovich_2006_3,Duffy_Feltovich_2006_9,2,4,61_62
Duffy_Feltovich_2006_7,Duffy_Feltovich_2006,1,10,1,Duffy_Feltovich_2006_4,Duffy_Feltovich_2006_20,3,2,63_64
Duffy_Feltovich_2006_8,Duffy_Feltovich_2006,1,10,1,Duffy_Feltovich_2006_5,Duffy_Feltovich_2006_17,3,1,62_63
Duffy_Feltovich_2006_9,Duffy_Feltovich_2006,1,10,1,Duffy_Feltovich_2006_6,Duffy_Feltovich_2006_8,2,4,67_68
Duffy_Feltovich_2006_10,Duffy_Feltovich_2006,1,10,1,Duffy_Feltovich_2006_7,Duffy_Feltovich_2006_13,1,3,64_65
Duffy_Feltovich_2006_11,Duffy_Feltovich_2006,1,13,1,Duffy_Feltovich_2006_1,Duffy_Feltovich_2006_13,2,4,80_81
Duffy_Feltovich_2006_12,Duffy_Feltovich_2006,1,13,1,Duffy_Feltovich_2006_10,Duffy_Feltovich_2006_14,3,1,89_90
Duffy_Feltovich_2006_13,Duffy_Feltovich_2006,1,13,1,Duffy_Feltovich_2006_11,Duffy_Feltovich_2006_18,3,1,86_87
Duffy_Feltovich_2006_14,Duffy_Feltovich_2006,1,13,1,Duffy_Feltovich_2006_12,Duffy_Feltovich_2006_15,4,1,90_91
Duffy_Feltovich_2006_15,Duffy_Feltovich_2006,1,13,1,Duffy_Feltovich_2006_2,Duffy_Feltovich_2006_20,4,1,96_97
Duffy_Feltovich_2006_16,Duffy_Feltovich_2006,1,13,1,Duffy_Feltovich_2006_3,Duffy_Feltovich_2006_16,2,3,81_82
Duffy_Feltovich_2006_17,Duffy_Feltovich_2006,1,13,1,Duffy_Feltovich_2006_4,Duffy_Feltovich_2006_17,1,4,83_84
Duffy_Feltovich_2006_18,Duffy_Feltovich_2006,1,13,1,Duffy_Feltovich_2006_5,Duffy_Feltovich_2006_6,2,3,82_83
Duffy_Feltovich_2006_19,Duffy_Feltovich_2006,1,13,1,Duffy_Feltovich_2006_7,Duffy_Feltovich_2006_9,3,1,84_85
Duffy_Feltovich_2006_20,Duffy_Feltovich_2006,1,13,1,Duffy_Feltovich_2006_8,Duffy_Feltovich_2006_19,3,2,87_88
Duffy_Feltovich_2006_21,Duffy_Feltovich_2006,1,16,1,Duffy_Feltovich_2006_1,Duffy_Feltovich_2006_4,4,1,100_101
Duffy_Feltovich_2006_22,Duffy_Feltovich_2006,1,16,1,Duffy_Feltovich_2006_11,Duffy_Feltovich_2006_13,1,4,106_107
Duffy_Feltovich_2006_23,Duffy_Feltovich_2006,1,16,1,Duffy_Feltovich_2006_12,Duffy_Feltovich_2006_15,1,3,110_111
Duffy_Feltovich_2006_24,Duffy_Feltovich_2006,1,16,1,Duffy_Feltovich_2006_19,Duffy_Feltovich_2006_20,1,4,113_114
Duffy_Feltovich_2006_25,Duffy_Feltovich_2006,1,16,1,Duffy_Feltovich_2006_2,Duffy_Feltovich_2006_5,4,2,102_103
Duffy_Feltovich_2006_26,Duffy_Feltovich_2006,1,16,1,Duffy_Feltovich_2006_3,Duffy_Feltovich_2006_10,4,1,101_102
Duffy_Feltovich_2006_27,Duffy_Feltovich_2006,1,16,1,Duffy_Feltovich_2006_6,Duffy_Feltovich_2006_14,2,4,109_110
Duffy_Feltovich_2006_28,Duffy_Feltovich_2006,1,16,1,Duffy_Feltovich_2006_7,Duffy_Feltovich_2006_16,3,2,104_105
Duffy_Feltovich_2006_29,Duffy_Feltovich_2006,1,16,1,Duffy_Feltovich_2006_8,Duffy_Feltovich_2006_17,4,2,107_108
Duffy_Feltovich_2006_30,Duffy_Feltovich_2006,1,16,1,Duffy_Feltovich_2006_9,Duffy_Feltovich_2006_18,3,1,105_106
Duffy_Feltovich_2006_31,Duffy_Feltovich_2006,1,21,1,Duffy_Feltovich_2006_1,Duffy_Feltovich_2006_17,1,4,120_121
Duffy_Feltovich_2006_32,Duffy_Feltovich_2006,1,21,1,Duffy_Feltovich_2006_11,Duffy_Feltovich_2006_19,2,3,126_127
Duffy_Feltovich_2006_33,Duffy_Feltovich_2006,1,21,1,Duffy_Feltovich_2006_14,Duffy_Feltovich_2006_18,2,3,129_130
Duffy_Feltovich_2006_34,Duffy_Feltovich_2006,1,21,1,Duffy_Feltovich_2006_15,Duffy_Feltovich_2006_16,4,2,130_131
Duffy_Feltovich_2006_35,Duffy_Feltovich_2006,1,21,1,Duffy_Feltovich_2006_2,Duffy_Feltovich_2006_4,3,1,123_124
Duffy_Feltovich_2006_36,Duffy_Feltovich_2006,1,21,1,Duffy_Feltovich_2006_3,Duffy_Feltovich_2006_13,2,4,121_122
Duffy_Feltovich_2006_37,Duffy_Feltovich_2006,1,21,1,Duffy_Feltovich_2006_5,Duffy_Feltovich_2006_12,1,3,122_123
Duffy_Feltovich_2006_38,Duffy_Feltovich_2006,1,21,1,Duffy_Feltovich_2006_6,Duffy_Feltovich_2006_7,4,1,124_125
Duffy_Feltovich_2006_39,Duffy_Feltovich_2006,1,21,1,Duffy_Feltovich_2006_8,Duffy_Feltovich_2006_10,3,2,127_128
Duffy_Feltovich_2006_40,Duffy_Feltovich_2006,1,21,1,Duffy_Feltovich_2006_9,Duffy_Feltovich_2006_20,1,4,125_126
Duffy_Feltovich_2006_41,Duffy_Feltovich_2006,1,22,1,Duffy_Feltovich_2006_1,Duffy_Feltovich_2006_7,3,1,140_141
Duffy_Feltovich_2006_42,Duffy_Feltovich_2006,1,22,1,Duffy_Feltovich_2006_10,Duffy_Feltovich_2006_15,2,4,150_151
Duffy_Feltovich_2006_43,Duffy_Feltovich_2006,1,22,1,Duffy_Feltovich_2006_11,Duffy_Feltovich_2006_12,1,4,146_147
Duffy_Feltovich_2006_44,Duffy_Feltovich_2006,1,22,1,Duffy_Feltovich_2006_17,Duffy_Feltovich_2006_18,1,4,152_153
Duffy_Feltovich_2006_45,Duffy_Feltovich_2006,1,22,1,Duffy_Feltovich_2006_2,Duffy_Feltovich_2006_3,3,1,141_142
Duffy_Feltovich_2006_46,Duffy_Feltovich_2006,1,22,1,Duffy_Feltovich_2006_4,Duffy_Feltovich_2006_14,3,2,143_144
Duffy_Feltovich_2006_47,Duffy_Feltovich_2006,1,22,1,Duffy_Feltovich_2006_5,Duffy_Feltovich_2006_16,2,4,142_143
Duffy_Feltovich_2006_48,Duffy_Feltovich_2006,1,22,1,Duffy_Feltovich_2006_6,Duffy_Feltovich_2006_20,2,4,155_156
Duffy_Feltovich_2006_49,Duffy_Feltovich_2006,1,22,1,Duffy_Feltovich_2006_8,Duffy_Feltovich_2006_13,3,2,147_148
Duffy_Feltovich_2006_50,Duffy_Feltovich_2006,1,22,1,Duffy_Feltovich_2006_9,Duffy_Feltovich_2006_19,2,3,145_146
Duffy_Feltovich_2006_51,Duffy_Feltovich_2006,1,27,1,Duffy_Feltovich_2006_1,Duffy_Feltovich_2006_14,4,1,160_161
Duffy_Feltovich_2006_52,Duffy_Feltovich_2006,1,27,1,Duffy_Feltovich_2006_10,Duffy_Feltovich_2006_15,3,2,170_171
Duffy_Feltovich_2006_53,Duffy_Feltovich_2006,1,27,1,Duffy_Feltovich_2006_11,Duffy_Feltovich_2006_19,1,3,166_167
Duffy_Feltovich_2006_54,Duffy_Feltovich_2006,1,27,1,Duffy_Feltovich_2006_12,Duffy_Feltovich_2006_18,4,1,171_172
Duffy_Feltovich_2006_55,Duffy_Feltovich_2006,1,27,1,Duffy_Feltovich_2006_2,Duffy_Feltovich_2006_17,1,4,172_173
Duffy_Feltovich_2006_56,Duffy_Feltovich_2006,1,27,1,Duffy_Feltovich_2006_3,Duffy_Feltovich_2006_13,3,1,161_162
Duffy_Feltovich_2006_57,Duffy_Feltovich_2006,1,27,1,Duffy_Feltovich_2006_4,Duffy_Feltovich_2006_6,2,3,163_164
Duffy_Feltovich_2006_58,Duffy_Feltovich_2006,1,27,1,Duffy_Feltovich_2006_5,Duffy_Feltovich_2006_7,3,2,162_163
Duffy_Feltovich_2006_59,Duffy_Feltovich_2006,1,27,1,Duffy_Feltovich_2006_8,Duffy_Feltovich_2006_20,2,4,167_168
Duffy_Feltovich_2006_60,Duffy_Feltovich_2006,1,27,1,Duffy_Feltovich_2006_9,Duffy_Feltovich_2006_16,3,1,165_166
Duffy_Feltovich_2006_61,Duffy_Feltovich_2006,1,3,1,Duffy_Feltovich_2006_1,Duffy_Feltovich_2006_2,1,4,0_1
Duffy_Feltovich_2006_62,Duffy_Feltovich_2006,1,3,1,Duffy_Feltovich_2006_11,Duffy_Feltovich_2006_12,3,1,6_7
Duffy_Feltovich_2006_63,Duffy_Feltovich_2006,1,3,1,Duffy_Feltovich_2006_13,Duffy_Feltovich_2006_14,2,4,8_9
Duffy_Feltovich_2006_64,Duffy_Feltovich_2006,1,3,1,Duffy_Feltovich_2006_15,Duffy_Feltovich_2006_16,1,3,10_11
Duffy_Feltovich_2006_65,Duffy_Feltovich_2006,1,3,1,Duffy_Feltovich_2006_17,Duffy_Feltovich_2006_18,2,3,12_13
Duffy_Feltovich_2006_66,Duffy_Feltovich_2006,1,3,1,Duffy_Feltovich_2006_19,Duffy_Feltovich_2006_20,3,2,13_14
Duffy_Feltovich_2006_67,Duffy_Feltovich_2006,1,3,1,Duffy_Feltovich_2006_3,Duffy_Feltovich_2006_4,2,4,1_2
Duffy_Feltovich_2006_68,Duffy_Feltovich_2006,1,3,1,Duffy_Feltovich_2006_5,Duffy_Feltovich_2006_6,4,1,2_3
Duffy_Feltovich_2006_69,Duffy_Feltovich_2006,1,3,1,Duffy_Feltovich_2006_7,Duffy_Feltovich_2006_8,2,3,4_5
Duffy_Feltovich_2006_70,Duffy_Feltovich_2006,1,3,1,Duffy_Feltovich_2006_9,Duffy_Feltovich_2006_10,1,3,5_6
Duffy_Feltovich_2006_71,Duffy_Feltovich_2006,1,30,1,Duffy_Feltovich_2006_1,Duffy_Feltovich_2006_20,1,3,180_181
Duffy_Feltovich_2006_72,Duffy_Feltovich_2006,1,30,1,Duffy_Feltovich_2006_10,Duffy_Feltovich_2006_18,1,3,197_198
Duffy_Feltovich_2006_73,Duffy_Feltovich_2006,1,30,1,Duffy_Feltovich_2006_14,Duffy_Feltovich_2006_15,3,1,189_190
Duffy_Feltovich_2006_74,Duffy_Feltovich_2006,1,30,1,Duffy_Feltovich_2006_16,Duffy_Feltovich_2006_17,1,3,192_193
Duffy_Feltovich_2006_75,Duffy_Feltovich_2006,1,30,1,Duffy_Feltovich_2006_2,Duffy_Feltovich_2006_3,3,1,181_182
Duffy_Feltovich_2006_76,Duffy_Feltovich_2006,1,30,1,Duffy_Feltovich_2006_4,Duffy_Feltovich_2006_13,3,1,183_184
