parameter_name,parameter_value
1_player_count,156
2_player_count,156
3_player_count,156
4_player_count,156
5_player_count,156
6_player_count,144
11_player_count,90
12_player_count,90
13_player_count,90
14_player_count,90
15_player_count,90
Finite,1
ContRule,0
