match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
Schmidt et al._2013_546,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-3.edf,7,Schmidt et al._2013_2,Schmidt et al._2013_5,2,4
Schmidt et al._2013_547,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-3.edf,7,Schmidt et al._2013_2,Schmidt et al._2013_6,2,4
Schmidt et al._2013_548,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-3.edf,7,Schmidt et al._2013_2,Schmidt et al._2013_7,1,4
Schmidt et al._2013_549,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-3.edf,7,Schmidt et al._2013_2,Schmidt et al._2013_8,2,4
Schmidt et al._2013_550,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-3.edf,7,Schmidt et al._2013_2,Schmidt et al._2013_9,2,4
Schmidt et al._2013_551,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-3.edf,8,Schmidt et al._2013_1,Schmidt et al._2013_2,2,4
Schmidt et al._2013_552,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-3.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_10,2,4
Schmidt et al._2013_553,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-3.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_11,2,4
Schmidt et al._2013_554,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-3.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_3,2,4
Schmidt et al._2013_555,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-3.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_4,1,4
Schmidt et al._2013_556,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-3.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_5,2,4
Schmidt et al._2013_557,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-3.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_6,2,4
Schmidt et al._2013_558,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-3.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_7,2,4
Schmidt et al._2013_559,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-3.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_8,2,3
Schmidt et al._2013_560,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-3.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_9,2,4
Schmidt et al._2013_561,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,1,Schmidt et al._2013_1,Schmidt et al._2013_2,2,4
Schmidt et al._2013_562,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,1,Schmidt et al._2013_2,Schmidt et al._2013_10,2,4
Schmidt et al._2013_563,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,1,Schmidt et al._2013_2,Schmidt et al._2013_11,2,4
Schmidt et al._2013_564,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,1,Schmidt et al._2013_2,Schmidt et al._2013_3,2,4
Schmidt et al._2013_565,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,1,Schmidt et al._2013_2,Schmidt et al._2013_4,2,4
Schmidt et al._2013_566,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,1,Schmidt et al._2013_2,Schmidt et al._2013_5,2,4
Schmidt et al._2013_567,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,1,Schmidt et al._2013_2,Schmidt et al._2013_6,2,3
Schmidt et al._2013_568,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,1,Schmidt et al._2013_2,Schmidt et al._2013_7,2,4
Schmidt et al._2013_569,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,1,Schmidt et al._2013_2,Schmidt et al._2013_8,1,4
Schmidt et al._2013_570,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,1,Schmidt et al._2013_2,Schmidt et al._2013_9,2,4
Schmidt et al._2013_571,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,2,Schmidt et al._2013_1,Schmidt et al._2013_2,2,4
Schmidt et al._2013_572,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,2,Schmidt et al._2013_2,Schmidt et al._2013_10,2,4
Schmidt et al._2013_573,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,2,Schmidt et al._2013_2,Schmidt et al._2013_11,2,4
Schmidt et al._2013_574,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,2,Schmidt et al._2013_2,Schmidt et al._2013_3,2,4
Schmidt et al._2013_575,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,2,Schmidt et al._2013_2,Schmidt et al._2013_4,2,4
Schmidt et al._2013_576,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,2,Schmidt et al._2013_2,Schmidt et al._2013_5,2,4
Schmidt et al._2013_577,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,2,Schmidt et al._2013_2,Schmidt et al._2013_6,2,3
Schmidt et al._2013_578,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,2,Schmidt et al._2013_2,Schmidt et al._2013_7,2,3
Schmidt et al._2013_579,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,2,Schmidt et al._2013_2,Schmidt et al._2013_8,1,4
Schmidt et al._2013_580,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,2,Schmidt et al._2013_2,Schmidt et al._2013_9,1,4
Schmidt et al._2013_581,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,3,Schmidt et al._2013_1,Schmidt et al._2013_2,2,4
Schmidt et al._2013_582,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,3,Schmidt et al._2013_2,Schmidt et al._2013_10,2,4
Schmidt et al._2013_583,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,3,Schmidt et al._2013_2,Schmidt et al._2013_11,2,3
Schmidt et al._2013_584,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,3,Schmidt et al._2013_2,Schmidt et al._2013_3,2,3
Schmidt et al._2013_585,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,3,Schmidt et al._2013_2,Schmidt et al._2013_4,1,4
Schmidt et al._2013_586,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,3,Schmidt et al._2013_2,Schmidt et al._2013_5,2,4
Schmidt et al._2013_587,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,3,Schmidt et al._2013_2,Schmidt et al._2013_6,2,4
Schmidt et al._2013_588,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,3,Schmidt et al._2013_2,Schmidt et al._2013_7,2,4
Schmidt et al._2013_589,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,3,Schmidt et al._2013_2,Schmidt et al._2013_8,1,4
Schmidt et al._2013_590,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,3,Schmidt et al._2013_2,Schmidt et al._2013_9,2,4
Schmidt et al._2013_591,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,4,Schmidt et al._2013_1,Schmidt et al._2013_2,2,4
Schmidt et al._2013_592,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,4,Schmidt et al._2013_2,Schmidt et al._2013_10,2,4
Schmidt et al._2013_593,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,4,Schmidt et al._2013_2,Schmidt et al._2013_11,2,4
Schmidt et al._2013_594,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,4,Schmidt et al._2013_2,Schmidt et al._2013_3,1,4
Schmidt et al._2013_595,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,4,Schmidt et al._2013_2,Schmidt et al._2013_4,2,4
Schmidt et al._2013_596,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,4,Schmidt et al._2013_2,Schmidt et al._2013_5,2,3
Schmidt et al._2013_597,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,4,Schmidt et al._2013_2,Schmidt et al._2013_6,2,4
Schmidt et al._2013_598,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,4,Schmidt et al._2013_2,Schmidt et al._2013_7,2,4
Schmidt et al._2013_599,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,4,Schmidt et al._2013_2,Schmidt et al._2013_8,1,4
Schmidt et al._2013_600,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,4,Schmidt et al._2013_2,Schmidt et al._2013_9,2,3
Schmidt et al._2013_601,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,5,Schmidt et al._2013_1,Schmidt et al._2013_2,2,4
Schmidt et al._2013_602,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,5,Schmidt et al._2013_2,Schmidt et al._2013_10,2,4
Schmidt et al._2013_603,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,5,Schmidt et al._2013_2,Schmidt et al._2013_11,2,4
Schmidt et al._2013_604,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,5,Schmidt et al._2013_2,Schmidt et al._2013_3,1,4
Schmidt et al._2013_605,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,5,Schmidt et al._2013_2,Schmidt et al._2013_4,1,4
Schmidt et al._2013_606,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,5,Schmidt et al._2013_2,Schmidt et al._2013_5,2,3
Schmidt et al._2013_607,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,5,Schmidt et al._2013_2,Schmidt et al._2013_6,2,3
Schmidt et al._2013_608,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,5,Schmidt et al._2013_2,Schmidt et al._2013_7,2,4
Schmidt et al._2013_609,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,5,Schmidt et al._2013_2,Schmidt et al._2013_8,2,4
Schmidt et al._2013_610,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,5,Schmidt et al._2013_2,Schmidt et al._2013_9,2,4
Schmidt et al._2013_611,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,6,Schmidt et al._2013_1,Schmidt et al._2013_2,2,4
Schmidt et al._2013_612,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,6,Schmidt et al._2013_2,Schmidt et al._2013_10,2,4
Schmidt et al._2013_613,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,6,Schmidt et al._2013_2,Schmidt et al._2013_11,2,4
Schmidt et al._2013_614,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,6,Schmidt et al._2013_2,Schmidt et al._2013_3,1,4
Schmidt et al._2013_615,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,6,Schmidt et al._2013_2,Schmidt et al._2013_4,2,4
Schmidt et al._2013_616,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,6,Schmidt et al._2013_2,Schmidt et al._2013_5,2,4
Schmidt et al._2013_617,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,6,Schmidt et al._2013_2,Schmidt et al._2013_6,2,4
Schmidt et al._2013_618,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,6,Schmidt et al._2013_2,Schmidt et al._2013_7,2,3
Schmidt et al._2013_619,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,6,Schmidt et al._2013_2,Schmidt et al._2013_8,2,4
Schmidt et al._2013_620,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,6,Schmidt et al._2013_2,Schmidt et al._2013_9,2,4
Schmidt et al._2013_621,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,7,Schmidt et al._2013_1,Schmidt et al._2013_2,2,4
Schmidt et al._2013_622,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,7,Schmidt et al._2013_2,Schmidt et al._2013_10,2,4
Schmidt et al._2013_623,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,7,Schmidt et al._2013_2,Schmidt et al._2013_11,2,4
Schmidt et al._2013_624,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,7,Schmidt et al._2013_2,Schmidt et al._2013_3,2,4
Schmidt et al._2013_625,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,7,Schmidt et al._2013_2,Schmidt et al._2013_4,2,4
Schmidt et al._2013_626,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,7,Schmidt et al._2013_2,Schmidt et al._2013_5,2,4
Schmidt et al._2013_627,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,7,Schmidt et al._2013_2,Schmidt et al._2013_6,2,4
Schmidt et al._2013_628,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,7,Schmidt et al._2013_2,Schmidt et al._2013_7,2,4
Schmidt et al._2013_629,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,7,Schmidt et al._2013_2,Schmidt et al._2013_8,2,4
Schmidt et al._2013_630,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,7,Schmidt et al._2013_2,Schmidt et al._2013_9,2,4
Schmidt et al._2013_631,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,8,Schmidt et al._2013_1,Schmidt et al._2013_2,2,4
Schmidt et al._2013_632,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_10,2,4
Schmidt et al._2013_633,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_11,2,4
Schmidt et al._2013_634,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_3,2,4
Schmidt et al._2013_635,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_4,1,4
Schmidt et al._2013_636,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_5,2,4
Schmidt et al._2013_637,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_6,2,4
Schmidt et al._2013_638,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_7,2,4
Schmidt et al._2013_639,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_8,2,3
Schmidt et al._2013_640,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO1,NFGDZ1-4.edf,8,Schmidt et al._2013_2,Schmidt et al._2013_9,2,4
Schmidt et al._2013_641,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,1,Schmidt et al._2013_12,Schmidt et al._2013_13,1,3
Schmidt et al._2013_642,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,1,Schmidt et al._2013_13,Schmidt et al._2013_14,1,3
Schmidt et al._2013_643,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,1,Schmidt et al._2013_13,Schmidt et al._2013_15,2,3
Schmidt et al._2013_644,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,1,Schmidt et al._2013_13,Schmidt et al._2013_16,2,4
Schmidt et al._2013_645,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,1,Schmidt et al._2013_13,Schmidt et al._2013_17,2,3
Schmidt et al._2013_646,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,1,Schmidt et al._2013_13,Schmidt et al._2013_18,1,3
Schmidt et al._2013_647,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,1,Schmidt et al._2013_13,Schmidt et al._2013_19,1,4
Schmidt et al._2013_648,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,1,Schmidt et al._2013_13,Schmidt et al._2013_20,2,4
Schmidt et al._2013_649,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,1,Schmidt et al._2013_13,Schmidt et al._2013_21,1,4
Schmidt et al._2013_650,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,1,Schmidt et al._2013_13,Schmidt et al._2013_22,1,3
Schmidt et al._2013_651,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,2,Schmidt et al._2013_12,Schmidt et al._2013_13,1,3
Schmidt et al._2013_652,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,2,Schmidt et al._2013_13,Schmidt et al._2013_14,2,3
Schmidt et al._2013_653,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,2,Schmidt et al._2013_13,Schmidt et al._2013_15,1,3
Schmidt et al._2013_654,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,2,Schmidt et al._2013_13,Schmidt et al._2013_16,2,3
Schmidt et al._2013_655,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,2,Schmidt et al._2013_13,Schmidt et al._2013_17,2,4
Schmidt et al._2013_656,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,2,Schmidt et al._2013_13,Schmidt et al._2013_18,1,3
Schmidt et al._2013_657,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,2,Schmidt et al._2013_13,Schmidt et al._2013_19,1,3
Schmidt et al._2013_658,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,2,Schmidt et al._2013_13,Schmidt et al._2013_20,2,4
Schmidt et al._2013_659,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,2,Schmidt et al._2013_13,Schmidt et al._2013_21,1,4
Schmidt et al._2013_660,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,2,Schmidt et al._2013_13,Schmidt et al._2013_22,1,4
Schmidt et al._2013_661,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,3,Schmidt et al._2013_12,Schmidt et al._2013_13,1,3
Schmidt et al._2013_662,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,3,Schmidt et al._2013_13,Schmidt et al._2013_14,1,3
Schmidt et al._2013_663,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,3,Schmidt et al._2013_13,Schmidt et al._2013_15,1,3
Schmidt et al._2013_664,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,3,Schmidt et al._2013_13,Schmidt et al._2013_16,1,3
Schmidt et al._2013_665,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,3,Schmidt et al._2013_13,Schmidt et al._2013_17,2,3
Schmidt et al._2013_666,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,3,Schmidt et al._2013_13,Schmidt et al._2013_18,1,4
Schmidt et al._2013_667,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,3,Schmidt et al._2013_13,Schmidt et al._2013_19,1,3
Schmidt et al._2013_668,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,3,Schmidt et al._2013_13,Schmidt et al._2013_20,2,3
Schmidt et al._2013_669,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,3,Schmidt et al._2013_13,Schmidt et al._2013_21,1,4
Schmidt et al._2013_670,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,3,Schmidt et al._2013_13,Schmidt et al._2013_22,1,3
Schmidt et al._2013_671,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,4,Schmidt et al._2013_12,Schmidt et al._2013_13,1,3
Schmidt et al._2013_672,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,4,Schmidt et al._2013_13,Schmidt et al._2013_14,1,4
Schmidt et al._2013_673,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,4,Schmidt et al._2013_13,Schmidt et al._2013_15,1,3
Schmidt et al._2013_674,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,4,Schmidt et al._2013_13,Schmidt et al._2013_16,2,3
Schmidt et al._2013_675,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,4,Schmidt et al._2013_13,Schmidt et al._2013_17,1,3
Schmidt et al._2013_676,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,4,Schmidt et al._2013_13,Schmidt et al._2013_18,1,4
Schmidt et al._2013_677,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,4,Schmidt et al._2013_13,Schmidt et al._2013_19,1,3
Schmidt et al._2013_678,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,4,Schmidt et al._2013_13,Schmidt et al._2013_20,1,3
Schmidt et al._2013_679,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,4,Schmidt et al._2013_13,Schmidt et al._2013_21,2,3
Schmidt et al._2013_680,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,4,Schmidt et al._2013_13,Schmidt et al._2013_22,1,3
Schmidt et al._2013_681,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,Schmidt et al._2013_12,Schmidt et al._2013_13,1,3
Schmidt et al._2013_682,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,Schmidt et al._2013_13,Schmidt et al._2013_14,2,4
Schmidt et al._2013_683,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,Schmidt et al._2013_13,Schmidt et al._2013_15,1,3
Schmidt et al._2013_684,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,Schmidt et al._2013_13,Schmidt et al._2013_16,1,3
Schmidt et al._2013_685,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,Schmidt et al._2013_13,Schmidt et al._2013_17,2,4
Schmidt et al._2013_686,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,Schmidt et al._2013_13,Schmidt et al._2013_18,1,3
Schmidt et al._2013_687,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,Schmidt et al._2013_13,Schmidt et al._2013_19,1,3
Schmidt et al._2013_688,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,Schmidt et al._2013_13,Schmidt et al._2013_20,2,3
Schmidt et al._2013_689,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,Schmidt et al._2013_13,Schmidt et al._2013_21,1,3
Schmidt et al._2013_690,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,Schmidt et al._2013_13,Schmidt et al._2013_22,1,4
Schmidt et al._2013_691,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,Schmidt et al._2013_12,Schmidt et al._2013_13,1,3
Schmidt et al._2013_692,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,Schmidt et al._2013_13,Schmidt et al._2013_14,2,3
Schmidt et al._2013_693,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,Schmidt et al._2013_13,Schmidt et al._2013_15,1,4
Schmidt et al._2013_694,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,Schmidt et al._2013_13,Schmidt et al._2013_16,1,3
Schmidt et al._2013_695,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,Schmidt et al._2013_13,Schmidt et al._2013_17,2,3
Schmidt et al._2013_696,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,Schmidt et al._2013_13,Schmidt et al._2013_18,1,4
Schmidt et al._2013_697,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,Schmidt et al._2013_13,Schmidt et al._2013_19,1,3
Schmidt et al._2013_698,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,Schmidt et al._2013_13,Schmidt et al._2013_20,1,3
Schmidt et al._2013_699,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,Schmidt et al._2013_13,Schmidt et al._2013_21,1,3
Schmidt et al._2013_700,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,Schmidt et al._2013_13,Schmidt et al._2013_22,1,3
Schmidt et al._2013_701,Schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,7,Schmidt et al._2013_12,Schmidt et al._2013_13,1,3
