match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
Schmidt et al._2013_37,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_205,Schmidt et al._2013_206,1,4
Schmidt et al._2013_38,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_207,Schmidt et al._2013_208,2,3
Schmidt et al._2013_39,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_209,Schmidt et al._2013_210,2,3
Schmidt et al._2013_40,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_211,Schmidt et al._2013_212,2,3
Schmidt et al._2013_41,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_213,Schmidt et al._2013_214,2,4
Schmidt et al._2013_42,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_215,Schmidt et al._2013_216,2,3
Schmidt et al._2013_43,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_217,Schmidt et al._2013_218,2,4
Schmidt et al._2013_44,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_219,Schmidt et al._2013_220,1,3
Schmidt et al._2013_45,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_221,Schmidt et al._2013_222,2,4
Schmidt et al._2013_46,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_223,Schmidt et al._2013_224,1,4
Schmidt et al._2013_47,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_225,Schmidt et al._2013_226,1,4
Schmidt et al._2013_48,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_227,Schmidt et al._2013_228,1,4
Schmidt et al._2013_49,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_229,Schmidt et al._2013_230,1,4
Schmidt et al._2013_50,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_231,Schmidt et al._2013_232,2,4
Schmidt et al._2013_51,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_233,Schmidt et al._2013_234,2,3
Schmidt et al._2013_52,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_235,Schmidt et al._2013_236,2,4
Schmidt et al._2013_53,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_237,Schmidt et al._2013_238,2,4
Schmidt et al._2013_54,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_239,Schmidt et al._2013_240,1,4
Schmidt et al._2013_55,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_241,Schmidt et al._2013_242,2,4
Schmidt et al._2013_56,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_243,Schmidt et al._2013_244,1,3
Schmidt et al._2013_57,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_245,Schmidt et al._2013_246,2,4
Schmidt et al._2013_58,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_247,Schmidt et al._2013_248,2,3
Schmidt et al._2013_59,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_249,Schmidt et al._2013_250,2,3
Schmidt et al._2013_60,Schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,Schmidt et al._2013_251,Schmidt et al._2013_252,2,3
