match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Rankin et al._2000_52,Rankin et al._2000,0,1,34,Rankin et al._2000_20,Rankin et al._2000_23,1,3,1589_1590
Rankin et al._2000_53,Rankin et al._2000,0,1,35,Rankin et al._2000_17,Rankin et al._2000_23,1,3,1632_1633
Rankin et al._2000_54,Rankin et al._2000,0,1,35,Rankin et al._2000_18,Rankin et al._2000_20,1,3,1635_1636
Rankin et al._2000_55,Rankin et al._2000,0,1,35,Rankin et al._2000_19,Rankin et al._2000_22,1,3,1633_1634
Rankin et al._2000_56,Rankin et al._2000,0,1,35,Rankin et al._2000_21,Rankin et al._2000_24,1,3,1634_1635
Rankin et al._2000_57,Rankin et al._2000,0,1,37,Rankin et al._2000_17,Rankin et al._2000_22,1,3,1728_1729
Rankin et al._2000_58,Rankin et al._2000,0,1,37,Rankin et al._2000_18,Rankin et al._2000_24,1,3,1731_1732
Rankin et al._2000_59,Rankin et al._2000,0,1,37,Rankin et al._2000_19,Rankin et al._2000_20,1,3,1729_1730
Rankin et al._2000_60,Rankin et al._2000,0,1,37,Rankin et al._2000_21,Rankin et al._2000_23,1,3,1730_1731
Rankin et al._2000_61,Rankin et al._2000,0,1,4,Rankin et al._2000_17,Rankin et al._2000_22,1,3,144_145
Rankin et al._2000_62,Rankin et al._2000,0,1,4,Rankin et al._2000_18,Rankin et al._2000_20,1,3,147_148
Rankin et al._2000_63,Rankin et al._2000,0,1,4,Rankin et al._2000_19,Rankin et al._2000_24,1,3,145_146
Rankin et al._2000_64,Rankin et al._2000,0,1,4,Rankin et al._2000_21,Rankin et al._2000_23,1,4,146_147
Rankin et al._2000_65,Rankin et al._2000,0,1,41,Rankin et al._2000_17,Rankin et al._2000_24,1,3,1920_1921
Rankin et al._2000_66,Rankin et al._2000,0,1,41,Rankin et al._2000_18,Rankin et al._2000_23,2,3,1923_1924
Rankin et al._2000_67,Rankin et al._2000,0,1,41,Rankin et al._2000_19,Rankin et al._2000_21,1,3,1921_1922
Rankin et al._2000_68,Rankin et al._2000,0,1,41,Rankin et al._2000_20,Rankin et al._2000_22,1,3,1924_1925
Rankin et al._2000_69,Rankin et al._2000,0,1,43,Rankin et al._2000_17,Rankin et al._2000_20,1,3,2016_2017
Rankin et al._2000_70,Rankin et al._2000,0,1,43,Rankin et al._2000_18,Rankin et al._2000_23,1,3,2019_2020
Rankin et al._2000_71,Rankin et al._2000,0,1,43,Rankin et al._2000_19,Rankin et al._2000_22,1,3,2017_2018
Rankin et al._2000_72,Rankin et al._2000,0,1,43,Rankin et al._2000_21,Rankin et al._2000_24,1,3,2018_2019
Rankin et al._2000_73,Rankin et al._2000,0,1,44,Rankin et al._2000_17,Rankin et al._2000_21,1,3,2064_2065
Rankin et al._2000_74,Rankin et al._2000,0,1,44,Rankin et al._2000_18,Rankin et al._2000_19,1,3,2065_2066
Rankin et al._2000_75,Rankin et al._2000,0,1,44,Rankin et al._2000_20,Rankin et al._2000_24,1,3,2070_2071
Rankin et al._2000_76,Rankin et al._2000,0,1,44,Rankin et al._2000_22,Rankin et al._2000_23,1,3,2068_2069
Rankin et al._2000_77,Rankin et al._2000,0,1,45,Rankin et al._2000_17,Rankin et al._2000_20,1,3,2112_2113
