match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
charness et al._2007_59,charness et al._2007,1,10,16,charness et al._2007_53,charness et al._2007_55,1,4,1315_1316
charness et al._2007_60,charness et al._2007,1,10,16,charness et al._2007_54,charness et al._2007_56,1,3,1340_1341
charness et al._2007_61,charness et al._2007,1,10,16,charness et al._2007_57,charness et al._2007_58,3,2,1415_1416
charness et al._2007_62,charness et al._2007,1,10,16,charness et al._2007_59,charness et al._2007_60,4,2,1440_1441
charness et al._2007_63,charness et al._2007,1,10,16,charness et al._2007_61,charness et al._2007_64,1,3,1515_1516
charness et al._2007_64,charness et al._2007,1,10,16,charness et al._2007_62,charness et al._2007_63,1,3,1540_1541
charness et al._2007_65,charness et al._2007,1,10,17,charness et al._2007_49,charness et al._2007_51,2,4,1216_1217
charness et al._2007_66,charness et al._2007,1,10,17,charness et al._2007_50,charness et al._2007_52,3,1,1241_1242
charness et al._2007_67,charness et al._2007,1,10,17,charness et al._2007_53,charness et al._2007_54,3,2,1316_1317
charness et al._2007_68,charness et al._2007,1,10,17,charness et al._2007_55,charness et al._2007_56,2,4,1366_1367
charness et al._2007_69,charness et al._2007,1,10,17,charness et al._2007_57,charness et al._2007_58,1,4,1416_1417
charness et al._2007_70,charness et al._2007,1,10,17,charness et al._2007_59,charness et al._2007_60,2,3,1441_1442
charness et al._2007_71,charness et al._2007,1,10,17,charness et al._2007_61,charness et al._2007_64,3,1,1516_1517
charness et al._2007_72,charness et al._2007,1,10,17,charness et al._2007_62,charness et al._2007_63,1,4,1541_1542
charness et al._2007_73,charness et al._2007,1,10,18,charness et al._2007_49,charness et al._2007_52,2,3,1217_1218
charness et al._2007_74,charness et al._2007,1,10,18,charness et al._2007_50,charness et al._2007_51,1,3,1242_1243
charness et al._2007_75,charness et al._2007,1,10,18,charness et al._2007_53,charness et al._2007_55,2,3,1317_1318
charness et al._2007_76,charness et al._2007,1,10,18,charness et al._2007_54,charness et al._2007_56,2,4,1342_1343
charness et al._2007_77,charness et al._2007,1,10,18,charness et al._2007_57,charness et al._2007_58,3,2,1417_1418
charness et al._2007_78,charness et al._2007,1,10,18,charness et al._2007_59,charness et al._2007_60,3,1,1442_1443
charness et al._2007_79,charness et al._2007,1,10,18,charness et al._2007_61,charness et al._2007_64,1,4,1517_1518
charness et al._2007_80,charness et al._2007,1,10,18,charness et al._2007_62,charness et al._2007_63,2,4,1542_1543
charness et al._2007_81,charness et al._2007,1,10,19,charness et al._2007_49,charness et al._2007_52,2,3,1218_1219
charness et al._2007_82,charness et al._2007,1,10,19,charness et al._2007_50,charness et al._2007_51,4,2,1243_1244
charness et al._2007_83,charness et al._2007,1,10,19,charness et al._2007_53,charness et al._2007_55,2,4,1318_1319
charness et al._2007_84,charness et al._2007,1,10,19,charness et al._2007_54,charness et al._2007_56,4,2,1343_1344
charness et al._2007_85,charness et al._2007,1,10,19,charness et al._2007_57,charness et al._2007_58,3,2,1418_1419
charness et al._2007_86,charness et al._2007,1,10,19,charness et al._2007_59,charness et al._2007_60,2,4,1443_1444
charness et al._2007_87,charness et al._2007,1,10,19,charness et al._2007_61,charness et al._2007_64,1,4,1518_1519
charness et al._2007_88,charness et al._2007,1,10,19,charness et al._2007_62,charness et al._2007_63,1,3,1543_1544
charness et al._2007_89,charness et al._2007,1,10,2,charness et al._2007_49,charness et al._2007_50,3,1,1201_1202
charness et al._2007_90,charness et al._2007,1,10,2,charness et al._2007_51,charness et al._2007_52,1,3,1251_1252
charness et al._2007_91,charness et al._2007,1,10,2,charness et al._2007_53,charness et al._2007_54,2,4,1301_1302
charness et al._2007_92,charness et al._2007,1,10,2,charness et al._2007_55,charness et al._2007_56,2,4,1351_1352
charness et al._2007_93,charness et al._2007,1,10,2,charness et al._2007_57,charness et al._2007_59,1,3,1401_1402
charness et al._2007_94,charness et al._2007,1,10,2,charness et al._2007_58,charness et al._2007_60,2,4,1451_1452
charness et al._2007_95,charness et al._2007,1,10,2,charness et al._2007_61,charness et al._2007_63,3,1,1501_1502
charness et al._2007_96,charness et al._2007,1,10,2,charness et al._2007_62,charness et al._2007_64,1,3,1551_1552
charness et al._2007_97,charness et al._2007,1,10,20,charness et al._2007_49,charness et al._2007_51,3,2,1219_1220
charness et al._2007_98,charness et al._2007,1,10,20,charness et al._2007_50,charness et al._2007_52,4,2,1244_1245
charness et al._2007_99,charness et al._2007,1,10,20,charness et al._2007_53,charness et al._2007_54,1,3,1319_1320
charness et al._2007_100,charness et al._2007,1,10,20,charness et al._2007_55,charness et al._2007_56,2,4,1369_1370
charness et al._2007_101,charness et al._2007,1,10,20,charness et al._2007_57,charness et al._2007_58,1,4,1419_1420
charness et al._2007_102,charness et al._2007,1,10,20,charness et al._2007_59,charness et al._2007_60,1,4,1444_1445
charness et al._2007_103,charness et al._2007,1,10,20,charness et al._2007_61,charness et al._2007_63,1,3,1519_1520
charness et al._2007_104,charness et al._2007,1,10,20,charness et al._2007_62,charness et al._2007_64,2,4,1569_1570
charness et al._2007_105,charness et al._2007,1,10,21,charness et al._2007_49,charness et al._2007_50,2,4,1220_1221
charness et al._2007_106,charness et al._2007,1,10,21,charness et al._2007_51,charness et al._2007_52,3,2,1270_1271
charness et al._2007_107,charness et al._2007,1,10,21,charness et al._2007_53,charness et al._2007_56,1,4,1320_1321
charness et al._2007_108,charness et al._2007,1,10,21,charness et al._2007_54,charness et al._2007_55,3,2,1345_1346
charness et al._2007_109,charness et al._2007,1,10,21,charness et al._2007_57,charness et al._2007_60,3,2,1420_1421
charness et al._2007_110,charness et al._2007,1,10,21,charness et al._2007_58,charness et al._2007_59,1,4,1445_1446
charness et al._2007_111,charness et al._2007,1,10,21,charness et al._2007_61,charness et al._2007_62,1,3,1520_1521
charness et al._2007_112,charness et al._2007,1,10,21,charness et al._2007_63,charness et al._2007_64,4,2,1545_1546
charness et al._2007_113,charness et al._2007,1,10,22,charness et al._2007_49,charness et al._2007_50,2,3,1221_1222
charness et al._2007_114,charness et al._2007,1,10,22,charness et al._2007_51,charness et al._2007_52,1,3,1271_1272
charness et al._2007_115,charness et al._2007,1,10,22,charness et al._2007_53,charness et al._2007_55,4,2,1321_1322
charness et al._2007_116,charness et al._2007,1,10,22,charness et al._2007_54,charness et al._2007_56,1,4,1346_1347
charness et al._2007_117,charness et al._2007,1,10,22,charness et al._2007_57,charness et al._2007_58,1,4,1421_1422
charness et al._2007_118,charness et al._2007,1,10,22,charness et al._2007_59,charness et al._2007_60,2,4,1446_1447
charness et al._2007_119,charness et al._2007,1,10,22,charness et al._2007_61,charness et al._2007_62,1,4,1521_1522
charness et al._2007_120,charness et al._2007,1,10,22,charness et al._2007_63,charness et al._2007_64,1,4,1546_1547
charness et al._2007_121,charness et al._2007,1,10,23,charness et al._2007_49,charness et al._2007_50,3,1,1222_1223
charness et al._2007_122,charness et al._2007,1,10,23,charness et al._2007_51,charness et al._2007_52,1,4,1272_1273
charness et al._2007_123,charness et al._2007,1,10,23,charness et al._2007_53,charness et al._2007_56,3,2,1322_1323
charness et al._2007_124,charness et al._2007,1,10,23,charness et al._2007_54,charness et al._2007_55,2,3,1347_1348
charness et al._2007_125,charness et al._2007,1,10,23,charness et al._2007_57,charness et al._2007_59,3,2,1422_1423
charness et al._2007_126,charness et al._2007,1,10,23,charness et al._2007_58,charness et al._2007_60,2,3,1472_1473
charness et al._2007_127,charness et al._2007,1,10,23,charness et al._2007_61,charness et al._2007_62,3,1,1522_1523
charness et al._2007_128,charness et al._2007,1,10,23,charness et al._2007_63,charness et al._2007_64,4,2,1547_1548
charness et al._2007_129,charness et al._2007,1,10,24,charness et al._2007_49,charness et al._2007_51,1,3,1223_1224
charness et al._2007_130,charness et al._2007,1,10,24,charness et al._2007_50,charness et al._2007_52,3,1,1248_1249
charness et al._2007_131,charness et al._2007,1,10,24,charness et al._2007_53,charness et al._2007_54,2,4,1323_1324
charness et al._2007_132,charness et al._2007,1,10,24,charness et al._2007_55,charness et al._2007_56,4,1,1373_1374
charness et al._2007_133,charness et al._2007,1,10,24,charness et al._2007_57,charness et al._2007_58,1,4,1423_1424
charness et al._2007_134,charness et al._2007,1,10,24,charness et al._2007_59,charness et al._2007_60,2,3,1448_1449
charness et al._2007_135,charness et al._2007,1,10,24,charness et al._2007_61,charness et al._2007_64,4,2,1523_1524
charness et al._2007_136,charness et al._2007,1,10,24,charness et al._2007_62,charness et al._2007_63,3,1,1548_1549
