match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
Feltovich et al._ 2012_41,Feltovich et al._ 2012,1,12,13,Feltovich et al._ 2012_53,Feltovich et al._ 2012_59,2,4
Feltovich et al._ 2012_42,Feltovich et al._ 2012,1,12,13,Feltovich et al._ 2012_54,Feltovich et al._ 2012_71,2,3
Feltovich et al._ 2012_43,Feltovich et al._ 2012,1,12,13,Feltovich et al._ 2012_55,Feltovich et al._ 2012_65,1,4
Feltovich et al._ 2012_44,Feltovich et al._ 2012,1,12,13,Feltovich et al._ 2012_56,Feltovich et al._ 2012_69,1,4
Feltovich et al._ 2012_45,Feltovich et al._ 2012,1,12,13,Feltovich et al._ 2012_57,Feltovich et al._ 2012_72,1,4
Feltovich et al._ 2012_46,Feltovich et al._ 2012,1,12,13,Feltovich et al._ 2012_58,Feltovich et al._ 2012_64,2,4
Feltovich et al._ 2012_47,Feltovich et al._ 2012,1,12,13,Feltovich et al._ 2012_60,Feltovich et al._ 2012_67,2,4
Feltovich et al._ 2012_48,Feltovich et al._ 2012,1,12,13,Feltovich et al._ 2012_61,Feltovich et al._ 2012_66,2,3
Feltovich et al._ 2012_49,Feltovich et al._ 2012,1,12,13,Feltovich et al._ 2012_62,Feltovich et al._ 2012_68,1,4
Feltovich et al._ 2012_50,Feltovich et al._ 2012,1,12,13,Feltovich et al._ 2012_63,Feltovich et al._ 2012_70,2,3
Feltovich et al._ 2012_51,Feltovich et al._ 2012,1,12,14,Feltovich et al._ 2012_53,Feltovich et al._ 2012_60,2,4
Feltovich et al._ 2012_52,Feltovich et al._ 2012,1,12,14,Feltovich et al._ 2012_54,Feltovich et al._ 2012_71,2,3
Feltovich et al._ 2012_53,Feltovich et al._ 2012,1,12,14,Feltovich et al._ 2012_55,Feltovich et al._ 2012_67,2,3
Feltovich et al._ 2012_54,Feltovich et al._ 2012,1,12,14,Feltovich et al._ 2012_56,Feltovich et al._ 2012_68,2,4
Feltovich et al._ 2012_55,Feltovich et al._ 2012,1,12,14,Feltovich et al._ 2012_57,Feltovich et al._ 2012_70,2,4
Feltovich et al._ 2012_56,Feltovich et al._ 2012,1,12,14,Feltovich et al._ 2012_58,Feltovich et al._ 2012_72,2,4
Feltovich et al._ 2012_57,Feltovich et al._ 2012,1,12,14,Feltovich et al._ 2012_59,Feltovich et al._ 2012_65,1,3
Feltovich et al._ 2012_58,Feltovich et al._ 2012,1,12,14,Feltovich et al._ 2012_61,Feltovich et al._ 2012_66,1,4
Feltovich et al._ 2012_59,Feltovich et al._ 2012,1,12,14,Feltovich et al._ 2012_62,Feltovich et al._ 2012_69,2,4
