parameter_name,parameter_value
1_player_count,14
2_player_count,14
3_player_count,14
4_player_count,14
5_player_count,14
6_player_count,14
7_player_count,14
8_player_count,14
9_player_count,14
10_player_count,14
11_player_count,14
12_player_count,14
Row_1,1
UL_1 ($),0.2
UR_1 ($),0
DL_1 ($),0.3
DR_1 ($),0.1
UL_0 ($),0.2
UR_0 ($),0.3
DL_0 ($),0
DR_0 ($),0.1
Finite,0
ContRule,0.9
Exchange,100
Eq,1
Eq_1_U,0
Eq_1_L,0
