match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
feltovich et al._ 2012_40,feltovich et al._ 2012,1,12,12,feltovich et al._ 2012_63,feltovich et al._ 2012_71,2,4,2411_2412
feltovich et al._ 2012_41,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_53,feltovich et al._ 2012_59,2,4,2092_2093
feltovich et al._ 2012_42,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_54,feltovich et al._ 2012_71,2,3,2412_2413
feltovich et al._ 2012_43,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_55,feltovich et al._ 2012_65,1,4,2172_2173
feltovich et al._ 2012_44,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_56,feltovich et al._ 2012_69,1,4,2332_2333
feltovich et al._ 2012_45,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_57,feltovich et al._ 2012_72,1,4,2452_2453
feltovich et al._ 2012_46,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_58,feltovich et al._ 2012_64,2,4,2132_2133
feltovich et al._ 2012_47,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_60,feltovich et al._ 2012_67,2,4,2252_2253
feltovich et al._ 2012_48,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_61,feltovich et al._ 2012_66,2,3,2212_2213
feltovich et al._ 2012_49,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_62,feltovich et al._ 2012_68,1,4,2292_2293
feltovich et al._ 2012_50,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_63,feltovich et al._ 2012_70,2,3,2372_2373
feltovich et al._ 2012_51,feltovich et al._ 2012,1,12,14,feltovich et al._ 2012_53,feltovich et al._ 2012_60,2,4,2093_2094
feltovich et al._ 2012_52,feltovich et al._ 2012,1,12,14,feltovich et al._ 2012_54,feltovich et al._ 2012_71,2,3,2413_2414
feltovich et al._ 2012_53,feltovich et al._ 2012,1,12,14,feltovich et al._ 2012_55,feltovich et al._ 2012_67,2,3,2253_2254
feltovich et al._ 2012_54,feltovich et al._ 2012,1,12,14,feltovich et al._ 2012_56,feltovich et al._ 2012_68,2,4,2293_2294
feltovich et al._ 2012_55,feltovich et al._ 2012,1,12,14,feltovich et al._ 2012_57,feltovich et al._ 2012_70,2,4,2373_2374
feltovich et al._ 2012_56,feltovich et al._ 2012,1,12,14,feltovich et al._ 2012_58,feltovich et al._ 2012_72,2,4,2453_2454
feltovich et al._ 2012_57,feltovich et al._ 2012,1,12,14,feltovich et al._ 2012_59,feltovich et al._ 2012_65,1,3,2173_2174
feltovich et al._ 2012_58,feltovich et al._ 2012,1,12,14,feltovich et al._ 2012_61,feltovich et al._ 2012_66,1,4,2213_2214
feltovich et al._ 2012_59,feltovich et al._ 2012,1,12,14,feltovich et al._ 2012_62,feltovich et al._ 2012_69,2,4,2333_2334
feltovich et al._ 2012_60,feltovich et al._ 2012,1,12,14,feltovich et al._ 2012_63,feltovich et al._ 2012_64,2,3,2133_2134
feltovich et al._ 2012_61,feltovich et al._ 2012,1,12,15,feltovich et al._ 2012_53,feltovich et al._ 2012_58,2,4,2094_2095
feltovich et al._ 2012_62,feltovich et al._ 2012,1,12,15,feltovich et al._ 2012_54,feltovich et al._ 2012_72,2,4,2454_2455
feltovich et al._ 2012_63,feltovich et al._ 2012,1,12,15,feltovich et al._ 2012_55,feltovich et al._ 2012_67,1,4,2254_2255
feltovich et al._ 2012_64,feltovich et al._ 2012,1,12,15,feltovich et al._ 2012_56,feltovich et al._ 2012_66,2,4,2214_2215
feltovich et al._ 2012_65,feltovich et al._ 2012,1,12,15,feltovich et al._ 2012_57,feltovich et al._ 2012_71,2,4,2414_2415
feltovich et al._ 2012_66,feltovich et al._ 2012,1,12,15,feltovich et al._ 2012_59,feltovich et al._ 2012_70,2,3,2374_2375
feltovich et al._ 2012_67,feltovich et al._ 2012,1,12,15,feltovich et al._ 2012_60,feltovich et al._ 2012_69,1,3,2334_2335
feltovich et al._ 2012_68,feltovich et al._ 2012,1,12,15,feltovich et al._ 2012_61,feltovich et al._ 2012_64,2,3,2134_2135
feltovich et al._ 2012_69,feltovich et al._ 2012,1,12,15,feltovich et al._ 2012_62,feltovich et al._ 2012_65,1,4,2174_2175
feltovich et al._ 2012_70,feltovich et al._ 2012,1,12,15,feltovich et al._ 2012_63,feltovich et al._ 2012_68,1,4,2294_2295
feltovich et al._ 2012_71,feltovich et al._ 2012,1,12,16,feltovich et al._ 2012_53,feltovich et al._ 2012_55,2,3,2095_2096
feltovich et al._ 2012_72,feltovich et al._ 2012,1,12,16,feltovich et al._ 2012_54,feltovich et al._ 2012_67,2,3,2255_2256
feltovich et al._ 2012_73,feltovich et al._ 2012,1,12,16,feltovich et al._ 2012_56,feltovich et al._ 2012_72,2,4,2455_2456
feltovich et al._ 2012_74,feltovich et al._ 2012,1,12,16,feltovich et al._ 2012_57,feltovich et al._ 2012_66,2,3,2215_2216
feltovich et al._ 2012_75,feltovich et al._ 2012,1,12,16,feltovich et al._ 2012_58,feltovich et al._ 2012_65,1,4,2175_2176
feltovich et al._ 2012_76,feltovich et al._ 2012,1,12,16,feltovich et al._ 2012_59,feltovich et al._ 2012_64,2,4,2135_2136
feltovich et al._ 2012_77,feltovich et al._ 2012,1,12,16,feltovich et al._ 2012_60,feltovich et al._ 2012_68,1,3,2295_2296
feltovich et al._ 2012_78,feltovich et al._ 2012,1,12,16,feltovich et al._ 2012_61,feltovich et al._ 2012_69,2,4,2335_2336
feltovich et al._ 2012_79,feltovich et al._ 2012,1,12,16,feltovich et al._ 2012_62,feltovich et al._ 2012_70,2,4,2375_2376
feltovich et al._ 2012_80,feltovich et al._ 2012,1,12,16,feltovich et al._ 2012_63,feltovich et al._ 2012_71,2,3,2415_2416
feltovich et al._ 2012_81,feltovich et al._ 2012,1,12,17,feltovich et al._ 2012_53,feltovich et al._ 2012_61,2,3,2096_2097
feltovich et al._ 2012_82,feltovich et al._ 2012,1,12,17,feltovich et al._ 2012_54,feltovich et al._ 2012_71,2,3,2416_2417
feltovich et al._ 2012_83,feltovich et al._ 2012,1,12,17,feltovich et al._ 2012_55,feltovich et al._ 2012_69,1,4,2336_2337
feltovich et al._ 2012_84,feltovich et al._ 2012,1,12,17,feltovich et al._ 2012_56,feltovich et al._ 2012_68,2,4,2296_2297
feltovich et al._ 2012_85,feltovich et al._ 2012,1,12,17,feltovich et al._ 2012_57,feltovich et al._ 2012_64,2,3,2136_2137
feltovich et al._ 2012_86,feltovich et al._ 2012,1,12,17,feltovich et al._ 2012_58,feltovich et al._ 2012_70,2,3,2376_2377
feltovich et al._ 2012_87,feltovich et al._ 2012,1,12,17,feltovich et al._ 2012_59,feltovich et al._ 2012_65,1,4,2176_2177
feltovich et al._ 2012_88,feltovich et al._ 2012,1,12,17,feltovich et al._ 2012_60,feltovich et al._ 2012_72,2,3,2456_2457
feltovich et al._ 2012_89,feltovich et al._ 2012,1,12,17,feltovich et al._ 2012_62,feltovich et al._ 2012_66,1,4,2216_2217
feltovich et al._ 2012_90,feltovich et al._ 2012,1,12,17,feltovich et al._ 2012_63,feltovich et al._ 2012_67,1,4,2256_2257
feltovich et al._ 2012_91,feltovich et al._ 2012,1,12,18,feltovich et al._ 2012_53,feltovich et al._ 2012_58,2,3,2097_2098
feltovich et al._ 2012_92,feltovich et al._ 2012,1,12,18,feltovich et al._ 2012_54,feltovich et al._ 2012_66,2,4,2217_2218
feltovich et al._ 2012_93,feltovich et al._ 2012,1,12,18,feltovich et al._ 2012_55,feltovich et al._ 2012_71,2,3,2417_2418
feltovich et al._ 2012_94,feltovich et al._ 2012,1,12,18,feltovich et al._ 2012_56,feltovich et al._ 2012_69,2,4,2337_2338
feltovich et al._ 2012_95,feltovich et al._ 2012,1,12,18,feltovich et al._ 2012_57,feltovich et al._ 2012_65,1,4,2177_2178
feltovich et al._ 2012_96,feltovich et al._ 2012,1,12,18,feltovich et al._ 2012_59,feltovich et al._ 2012_64,2,3,2137_2138
feltovich et al._ 2012_97,feltovich et al._ 2012,1,12,18,feltovich et al._ 2012_60,feltovich et al._ 2012_68,1,3,2297_2298
feltovich et al._ 2012_98,feltovich et al._ 2012,1,12,18,feltovich et al._ 2012_61,feltovich et al._ 2012_72,1,4,2457_2458
feltovich et al._ 2012_99,feltovich et al._ 2012,1,12,18,feltovich et al._ 2012_62,feltovich et al._ 2012_70,2,4,2377_2378
feltovich et al._ 2012_100,feltovich et al._ 2012,1,12,18,feltovich et al._ 2012_63,feltovich et al._ 2012_67,2,3,2257_2258
feltovich et al._ 2012_101,feltovich et al._ 2012,1,12,19,feltovich et al._ 2012_53,feltovich et al._ 2012_55,2,4,2098_2099
feltovich et al._ 2012_102,feltovich et al._ 2012,1,12,19,feltovich et al._ 2012_54,feltovich et al._ 2012_65,1,3,2178_2179
feltovich et al._ 2012_103,feltovich et al._ 2012,1,12,19,feltovich et al._ 2012_56,feltovich et al._ 2012_66,2,4,2218_2219
feltovich et al._ 2012_104,feltovich et al._ 2012,1,12,19,feltovich et al._ 2012_57,feltovich et al._ 2012_70,2,3,2378_2379
feltovich et al._ 2012_105,feltovich et al._ 2012,1,12,19,feltovich et al._ 2012_58,feltovich et al._ 2012_67,1,3,2258_2259
feltovich et al._ 2012_106,feltovich et al._ 2012,1,12,19,feltovich et al._ 2012_59,feltovich et al._ 2012_64,2,4,2138_2139
feltovich et al._ 2012_107,feltovich et al._ 2012,1,12,19,feltovich et al._ 2012_60,feltovich et al._ 2012_71,2,3,2418_2419
feltovich et al._ 2012_108,feltovich et al._ 2012,1,12,19,feltovich et al._ 2012_61,feltovich et al._ 2012_68,2,3,2298_2299
feltovich et al._ 2012_109,feltovich et al._ 2012,1,12,19,feltovich et al._ 2012_62,feltovich et al._ 2012_72,1,4,2458_2459
feltovich et al._ 2012_110,feltovich et al._ 2012,1,12,19,feltovich et al._ 2012_63,feltovich et al._ 2012_69,1,3,2338_2339
feltovich et al._ 2012_111,feltovich et al._ 2012,1,12,2,feltovich et al._ 2012_53,feltovich et al._ 2012_55,1,4,2081_2082
feltovich et al._ 2012_112,feltovich et al._ 2012,1,12,2,feltovich et al._ 2012_54,feltovich et al._ 2012_65,2,4,2161_2162
feltovich et al._ 2012_113,feltovich et al._ 2012,1,12,2,feltovich et al._ 2012_56,feltovich et al._ 2012_66,2,4,2201_2202
feltovich et al._ 2012_114,feltovich et al._ 2012,1,12,2,feltovich et al._ 2012_57,feltovich et al._ 2012_67,2,4,2241_2242
feltovich et al._ 2012_115,feltovich et al._ 2012,1,12,2,feltovich et al._ 2012_58,feltovich et al._ 2012_64,2,4,2121_2122
feltovich et al._ 2012_116,feltovich et al._ 2012,1,12,2,feltovich et al._ 2012_59,feltovich et al._ 2012_68,2,4,2281_2282
feltovich et al._ 2012_117,feltovich et al._ 2012,1,12,2,feltovich et al._ 2012_60,feltovich et al._ 2012_70,2,4,2361_2362
feltovich et al._ 2012_118,feltovich et al._ 2012,1,12,2,feltovich et al._ 2012_61,feltovich et al._ 2012_72,1,3,2441_2442
feltovich et al._ 2012_119,feltovich et al._ 2012,1,12,2,feltovich et al._ 2012_62,feltovich et al._ 2012_71,2,3,2401_2402
feltovich et al._ 2012_120,feltovich et al._ 2012,1,12,2,feltovich et al._ 2012_63,feltovich et al._ 2012_69,2,3,2321_2322
feltovich et al._ 2012_121,feltovich et al._ 2012,1,12,20,feltovich et al._ 2012_53,feltovich et al._ 2012_59,2,4,2099_2100
feltovich et al._ 2012_122,feltovich et al._ 2012,1,12,20,feltovich et al._ 2012_54,feltovich et al._ 2012_72,2,4,2459_2460
feltovich et al._ 2012_123,feltovich et al._ 2012,1,12,20,feltovich et al._ 2012_55,feltovich et al._ 2012_70,2,3,2379_2380
feltovich et al._ 2012_124,feltovich et al._ 2012,1,12,20,feltovich et al._ 2012_56,feltovich et al._ 2012_67,1,4,2259_2260
feltovich et al._ 2012_125,feltovich et al._ 2012,1,12,20,feltovich et al._ 2012_57,feltovich et al._ 2012_69,2,3,2339_2340
feltovich et al._ 2012_126,feltovich et al._ 2012,1,12,20,feltovich et al._ 2012_58,feltovich et al._ 2012_64,2,3,2139_2140
feltovich et al._ 2012_127,feltovich et al._ 2012,1,12,20,feltovich et al._ 2012_60,feltovich et al._ 2012_68,1,4,2299_2300
feltovich et al._ 2012_128,feltovich et al._ 2012,1,12,20,feltovich et al._ 2012_61,feltovich et al._ 2012_65,1,4,2179_2180
feltovich et al._ 2012_129,feltovich et al._ 2012,1,12,20,feltovich et al._ 2012_62,feltovich et al._ 2012_66,2,4,2219_2220
feltovich et al._ 2012_130,feltovich et al._ 2012,1,12,20,feltovich et al._ 2012_63,feltovich et al._ 2012_71,2,3,2419_2420
feltovich et al._ 2012_131,feltovich et al._ 2012,1,12,21,feltovich et al._ 2012_53,feltovich et al._ 2012_54,2,3,2100_2101
feltovich et al._ 2012_132,feltovich et al._ 2012,1,12,21,feltovich et al._ 2012_55,feltovich et al._ 2012_65,1,4,2180_2181
feltovich et al._ 2012_133,feltovich et al._ 2012,1,12,21,feltovich et al._ 2012_56,feltovich et al._ 2012_66,2,4,2220_2221
feltovich et al._ 2012_134,feltovich et al._ 2012,1,12,21,feltovich et al._ 2012_57,feltovich et al._ 2012_71,2,4,2420_2421
feltovich et al._ 2012_135,feltovich et al._ 2012,1,12,21,feltovich et al._ 2012_58,feltovich et al._ 2012_68,1,4,2300_2301
feltovich et al._ 2012_136,feltovich et al._ 2012,1,12,21,feltovich et al._ 2012_59,feltovich et al._ 2012_67,2,4,2260_2261
feltovich et al._ 2012_137,feltovich et al._ 2012,1,12,21,feltovich et al._ 2012_60,feltovich et al._ 2012_69,1,3,2340_2341
feltovich et al._ 2012_138,feltovich et al._ 2012,1,12,21,feltovich et al._ 2012_61,feltovich et al._ 2012_64,2,3,2140_2141
feltovich et al._ 2012_139,feltovich et al._ 2012,1,12,21,feltovich et al._ 2012_62,feltovich et al._ 2012_70,2,4,2380_2381
feltovich et al._ 2012_140,feltovich et al._ 2012,1,12,21,feltovich et al._ 2012_63,feltovich et al._ 2012_72,1,3,2460_2461
feltovich et al._ 2012_141,feltovich et al._ 2012,1,12,22,feltovich et al._ 2012_53,feltovich et al._ 2012_55,2,3,2101_2102
feltovich et al._ 2012_142,feltovich et al._ 2012,1,12,22,feltovich et al._ 2012_54,feltovich et al._ 2012_68,1,3,2301_2302
feltovich et al._ 2012_143,feltovich et al._ 2012,1,12,22,feltovich et al._ 2012_56,feltovich et al._ 2012_65,1,4,2181_2182
feltovich et al._ 2012_144,feltovich et al._ 2012,1,12,22,feltovich et al._ 2012_57,feltovich et al._ 2012_71,2,3,2421_2422
feltovich et al._ 2012_145,feltovich et al._ 2012,1,12,22,feltovich et al._ 2012_58,feltovich et al._ 2012_70,2,4,2381_2382
feltovich et al._ 2012_146,feltovich et al._ 2012,1,12,22,feltovich et al._ 2012_59,feltovich et al._ 2012_67,2,4,2261_2262
feltovich et al._ 2012_147,feltovich et al._ 2012,1,12,22,feltovich et al._ 2012_60,feltovich et al._ 2012_64,2,3,2141_2142
