match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Costa-Gomes et al._2001_39,Costa-Gomes et al._2001,Baseline,1,2B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_23,3.0,,93_94
Costa-Gomes et al._2001_40,Costa-Gomes et al._2001,Baseline,1,2B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_24,3.0,,94_95
Costa-Gomes et al._2001_41,Costa-Gomes et al._2001,Baseline,1,2B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_25,3.0,,95_96
Costa-Gomes et al._2001_42,Costa-Gomes et al._2001,Baseline,1,2B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_3,1.0,,73_74
Costa-Gomes et al._2001_43,Costa-Gomes et al._2001,Baseline,1,2B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_4,1.0,,74_75
Costa-Gomes et al._2001_44,Costa-Gomes et al._2001,Baseline,1,2B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_5,2.0,,75_76
Costa-Gomes et al._2001_45,Costa-Gomes et al._2001,Baseline,1,2B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_6,1.0,,76_77
Costa-Gomes et al._2001_46,Costa-Gomes et al._2001,Baseline,1,2B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_7,1.0,,77_78
Costa-Gomes et al._2001_47,Costa-Gomes et al._2001,Baseline,1,2B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_8,1.0,,78_79
Costa-Gomes et al._2001_48,Costa-Gomes et al._2001,Baseline,1,2B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_9,1.0,,79_80
Costa-Gomes et al._2001_49,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_1,Costa-Gomes et al._2001_2,1.0,,144_145
Costa-Gomes et al._2001_50,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_10,2.0,,152_153
Costa-Gomes et al._2001_51,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_11,1.0,,153_154
Costa-Gomes et al._2001_52,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_12,1.0,,154_155
Costa-Gomes et al._2001_53,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_13,2.0,,155_156
Costa-Gomes et al._2001_54,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_14,3.0,,156_157
Costa-Gomes et al._2001_55,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_15,3.0,,157_158
Costa-Gomes et al._2001_56,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_16,3.0,,158_159
Costa-Gomes et al._2001_57,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_17,3.0,,159_160
Costa-Gomes et al._2001_58,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_18,3.0,,160_161
Costa-Gomes et al._2001_59,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_19,3.0,,161_162
Costa-Gomes et al._2001_60,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_20,3.0,,162_163
Costa-Gomes et al._2001_61,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_21,3.0,,163_164
Costa-Gomes et al._2001_62,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_22,3.0,,164_165
Costa-Gomes et al._2001_63,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_23,3.0,,165_166
Costa-Gomes et al._2001_64,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_24,3.0,,166_167
Costa-Gomes et al._2001_65,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_25,3.0,,167_168
Costa-Gomes et al._2001_66,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_3,1.0,,145_146
Costa-Gomes et al._2001_67,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_4,2.0,,146_147
Costa-Gomes et al._2001_68,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_5,2.0,,147_148
