match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
schmidt et al._2013_676,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,4,schmidt et al._2013_13,schmidt et al._2013_18,1,4
schmidt et al._2013_677,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,4,schmidt et al._2013_13,schmidt et al._2013_19,1,3
schmidt et al._2013_678,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,4,schmidt et al._2013_13,schmidt et al._2013_20,1,3
schmidt et al._2013_679,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,4,schmidt et al._2013_13,schmidt et al._2013_21,2,3
schmidt et al._2013_680,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,4,schmidt et al._2013_13,schmidt et al._2013_22,1,3
schmidt et al._2013_681,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,schmidt et al._2013_12,schmidt et al._2013_13,1,3
schmidt et al._2013_682,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,schmidt et al._2013_13,schmidt et al._2013_14,2,4
schmidt et al._2013_683,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,schmidt et al._2013_13,schmidt et al._2013_15,1,3
schmidt et al._2013_684,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,schmidt et al._2013_13,schmidt et al._2013_16,1,3
schmidt et al._2013_685,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,schmidt et al._2013_13,schmidt et al._2013_17,2,4
schmidt et al._2013_686,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,schmidt et al._2013_13,schmidt et al._2013_18,1,3
schmidt et al._2013_687,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,schmidt et al._2013_13,schmidt et al._2013_19,1,3
schmidt et al._2013_688,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,schmidt et al._2013_13,schmidt et al._2013_20,2,3
schmidt et al._2013_689,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,schmidt et al._2013_13,schmidt et al._2013_21,1,3
schmidt et al._2013_690,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,5,schmidt et al._2013_13,schmidt et al._2013_22,1,4
schmidt et al._2013_691,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,schmidt et al._2013_12,schmidt et al._2013_13,1,3
schmidt et al._2013_692,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,schmidt et al._2013_13,schmidt et al._2013_14,2,3
schmidt et al._2013_693,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,schmidt et al._2013_13,schmidt et al._2013_15,1,4
schmidt et al._2013_694,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,schmidt et al._2013_13,schmidt et al._2013_16,1,3
schmidt et al._2013_695,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,schmidt et al._2013_13,schmidt et al._2013_17,2,3
schmidt et al._2013_696,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,schmidt et al._2013_13,schmidt et al._2013_18,1,4
schmidt et al._2013_697,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,schmidt et al._2013_13,schmidt et al._2013_19,1,3
schmidt et al._2013_698,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,schmidt et al._2013_13,schmidt et al._2013_20,1,3
schmidt et al._2013_699,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,schmidt et al._2013_13,schmidt et al._2013_21,1,3
schmidt et al._2013_700,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,6,schmidt et al._2013_13,schmidt et al._2013_22,1,3
schmidt et al._2013_701,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,7,schmidt et al._2013_12,schmidt et al._2013_13,1,3
schmidt et al._2013_702,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,7,schmidt et al._2013_13,schmidt et al._2013_14,2,3
schmidt et al._2013_703,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,7,schmidt et al._2013_13,schmidt et al._2013_15,1,3
schmidt et al._2013_704,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,7,schmidt et al._2013_13,schmidt et al._2013_16,1,4
schmidt et al._2013_705,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,7,schmidt et al._2013_13,schmidt et al._2013_17,2,3
schmidt et al._2013_706,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,7,schmidt et al._2013_13,schmidt et al._2013_18,1,3
schmidt et al._2013_707,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,7,schmidt et al._2013_13,schmidt et al._2013_19,1,4
schmidt et al._2013_708,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,7,schmidt et al._2013_13,schmidt et al._2013_20,1,3
schmidt et al._2013_709,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,7,schmidt et al._2013_13,schmidt et al._2013_21,1,3
schmidt et al._2013_710,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,7,schmidt et al._2013_13,schmidt et al._2013_22,1,3
schmidt et al._2013_711,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,8,schmidt et al._2013_12,schmidt et al._2013_13,1,3
schmidt et al._2013_712,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,8,schmidt et al._2013_13,schmidt et al._2013_14,1,3
schmidt et al._2013_713,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,8,schmidt et al._2013_13,schmidt et al._2013_15,2,3
schmidt et al._2013_714,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,8,schmidt et al._2013_13,schmidt et al._2013_16,1,3
schmidt et al._2013_715,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,8,schmidt et al._2013_13,schmidt et al._2013_17,1,3
schmidt et al._2013_716,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,8,schmidt et al._2013_13,schmidt et al._2013_18,1,3
schmidt et al._2013_717,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,8,schmidt et al._2013_13,schmidt et al._2013_19,1,4
schmidt et al._2013_718,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,8,schmidt et al._2013_13,schmidt et al._2013_20,1,3
schmidt et al._2013_719,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,8,schmidt et al._2013_13,schmidt et al._2013_21,1,3
schmidt et al._2013_720,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-1.edf,8,schmidt et al._2013_13,schmidt et al._2013_22,1,3
schmidt et al._2013_721,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,1,schmidt et al._2013_12,schmidt et al._2013_13,1,4
schmidt et al._2013_722,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,1,schmidt et al._2013_13,schmidt et al._2013_14,2,3
schmidt et al._2013_723,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,1,schmidt et al._2013_13,schmidt et al._2013_15,1,3
schmidt et al._2013_724,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,1,schmidt et al._2013_13,schmidt et al._2013_16,2,4
schmidt et al._2013_725,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,1,schmidt et al._2013_13,schmidt et al._2013_17,2,4
schmidt et al._2013_726,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,1,schmidt et al._2013_13,schmidt et al._2013_18,1,3
schmidt et al._2013_727,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,1,schmidt et al._2013_13,schmidt et al._2013_19,2,4
schmidt et al._2013_728,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,1,schmidt et al._2013_13,schmidt et al._2013_20,2,4
schmidt et al._2013_729,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,1,schmidt et al._2013_13,schmidt et al._2013_21,1,3
schmidt et al._2013_730,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,1,schmidt et al._2013_13,schmidt et al._2013_22,1,3
schmidt et al._2013_731,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,2,schmidt et al._2013_12,schmidt et al._2013_13,2,4
schmidt et al._2013_732,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,2,schmidt et al._2013_13,schmidt et al._2013_14,2,4
schmidt et al._2013_733,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,2,schmidt et al._2013_13,schmidt et al._2013_15,2,4
schmidt et al._2013_734,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,2,schmidt et al._2013_13,schmidt et al._2013_16,2,4
schmidt et al._2013_735,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,2,schmidt et al._2013_13,schmidt et al._2013_17,2,4
schmidt et al._2013_736,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,2,schmidt et al._2013_13,schmidt et al._2013_18,2,4
schmidt et al._2013_737,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,2,schmidt et al._2013_13,schmidt et al._2013_19,2,4
schmidt et al._2013_738,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,2,schmidt et al._2013_13,schmidt et al._2013_20,2,4
schmidt et al._2013_739,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,2,schmidt et al._2013_13,schmidt et al._2013_21,2,4
schmidt et al._2013_740,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,2,schmidt et al._2013_13,schmidt et al._2013_22,2,4
schmidt et al._2013_741,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,3,schmidt et al._2013_12,schmidt et al._2013_13,2,4
schmidt et al._2013_742,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,3,schmidt et al._2013_13,schmidt et al._2013_14,1,4
schmidt et al._2013_743,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,3,schmidt et al._2013_13,schmidt et al._2013_15,2,3
schmidt et al._2013_744,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,3,schmidt et al._2013_13,schmidt et al._2013_16,2,4
schmidt et al._2013_745,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,3,schmidt et al._2013_13,schmidt et al._2013_17,2,3
schmidt et al._2013_746,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,3,schmidt et al._2013_13,schmidt et al._2013_18,2,4
schmidt et al._2013_747,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,3,schmidt et al._2013_13,schmidt et al._2013_19,2,4
schmidt et al._2013_748,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,3,schmidt et al._2013_13,schmidt et al._2013_20,2,4
schmidt et al._2013_749,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,3,schmidt et al._2013_13,schmidt et al._2013_21,1,4
schmidt et al._2013_750,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,3,schmidt et al._2013_13,schmidt et al._2013_22,2,4
schmidt et al._2013_751,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,4,schmidt et al._2013_12,schmidt et al._2013_13,2,4
schmidt et al._2013_752,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,4,schmidt et al._2013_13,schmidt et al._2013_14,1,4
schmidt et al._2013_753,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,4,schmidt et al._2013_13,schmidt et al._2013_15,1,4
schmidt et al._2013_754,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,4,schmidt et al._2013_13,schmidt et al._2013_16,2,3
schmidt et al._2013_755,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,4,schmidt et al._2013_13,schmidt et al._2013_17,2,4
schmidt et al._2013_756,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,4,schmidt et al._2013_13,schmidt et al._2013_18,2,4
schmidt et al._2013_757,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,4,schmidt et al._2013_13,schmidt et al._2013_19,2,4
schmidt et al._2013_758,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,4,schmidt et al._2013_13,schmidt et al._2013_20,2,4
schmidt et al._2013_759,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,4,schmidt et al._2013_13,schmidt et al._2013_21,2,4
schmidt et al._2013_760,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,4,schmidt et al._2013_13,schmidt et al._2013_22,2,3
schmidt et al._2013_761,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,5,schmidt et al._2013_12,schmidt et al._2013_13,2,4
schmidt et al._2013_762,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,5,schmidt et al._2013_13,schmidt et al._2013_14,2,4
schmidt et al._2013_763,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,5,schmidt et al._2013_13,schmidt et al._2013_15,2,4
schmidt et al._2013_764,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,5,schmidt et al._2013_13,schmidt et al._2013_16,2,4
schmidt et al._2013_765,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,5,schmidt et al._2013_13,schmidt et al._2013_17,2,4
schmidt et al._2013_766,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,5,schmidt et al._2013_13,schmidt et al._2013_18,2,4
schmidt et al._2013_767,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,5,schmidt et al._2013_13,schmidt et al._2013_19,1,4
schmidt et al._2013_768,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,5,schmidt et al._2013_13,schmidt et al._2013_20,2,3
schmidt et al._2013_769,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,5,schmidt et al._2013_13,schmidt et al._2013_21,2,3
schmidt et al._2013_770,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,5,schmidt et al._2013_13,schmidt et al._2013_22,1,4
schmidt et al._2013_771,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,6,schmidt et al._2013_12,schmidt et al._2013_13,2,4
schmidt et al._2013_772,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,6,schmidt et al._2013_13,schmidt et al._2013_14,2,4
schmidt et al._2013_773,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,6,schmidt et al._2013_13,schmidt et al._2013_15,2,4
schmidt et al._2013_774,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,6,schmidt et al._2013_13,schmidt et al._2013_16,2,4
schmidt et al._2013_775,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,6,schmidt et al._2013_13,schmidt et al._2013_17,2,4
schmidt et al._2013_776,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,6,schmidt et al._2013_13,schmidt et al._2013_18,2,4
schmidt et al._2013_777,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,6,schmidt et al._2013_13,schmidt et al._2013_19,2,4
schmidt et al._2013_778,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,6,schmidt et al._2013_13,schmidt et al._2013_20,2,4
schmidt et al._2013_779,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,6,schmidt et al._2013_13,schmidt et al._2013_21,2,4
schmidt et al._2013_780,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,6,schmidt et al._2013_13,schmidt et al._2013_22,2,4
schmidt et al._2013_781,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,7,schmidt et al._2013_12,schmidt et al._2013_13,2,4
schmidt et al._2013_782,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,7,schmidt et al._2013_13,schmidt et al._2013_14,1,4
schmidt et al._2013_783,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,7,schmidt et al._2013_13,schmidt et al._2013_15,2,4
schmidt et al._2013_784,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,7,schmidt et al._2013_13,schmidt et al._2013_16,2,4
schmidt et al._2013_785,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,7,schmidt et al._2013_13,schmidt et al._2013_17,2,4
schmidt et al._2013_786,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,7,schmidt et al._2013_13,schmidt et al._2013_18,2,4
schmidt et al._2013_787,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,7,schmidt et al._2013_13,schmidt et al._2013_19,2,3
schmidt et al._2013_788,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,7,schmidt et al._2013_13,schmidt et al._2013_20,2,4
schmidt et al._2013_789,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,7,schmidt et al._2013_13,schmidt et al._2013_21,1,4
schmidt et al._2013_790,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,7,schmidt et al._2013_13,schmidt et al._2013_22,2,3
schmidt et al._2013_791,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,8,schmidt et al._2013_12,schmidt et al._2013_13,2,3
schmidt et al._2013_792,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,8,schmidt et al._2013_13,schmidt et al._2013_14,1,4
schmidt et al._2013_793,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,8,schmidt et al._2013_13,schmidt et al._2013_15,2,4
schmidt et al._2013_794,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,8,schmidt et al._2013_13,schmidt et al._2013_16,2,4
schmidt et al._2013_795,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,8,schmidt et al._2013_13,schmidt et al._2013_17,2,3
schmidt et al._2013_796,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,8,schmidt et al._2013_13,schmidt et al._2013_18,2,4
schmidt et al._2013_797,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,8,schmidt et al._2013_13,schmidt et al._2013_19,2,4
schmidt et al._2013_798,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,8,schmidt et al._2013_13,schmidt et al._2013_20,2,3
schmidt et al._2013_799,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,8,schmidt et al._2013_13,schmidt et al._2013_21,1,4
schmidt et al._2013_800,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-2.edf,8,schmidt et al._2013_13,schmidt et al._2013_22,1,4
schmidt et al._2013_801,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,1,schmidt et al._2013_12,schmidt et al._2013_13,2,4
schmidt et al._2013_802,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,1,schmidt et al._2013_13,schmidt et al._2013_14,2,4
schmidt et al._2013_803,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,1,schmidt et al._2013_13,schmidt et al._2013_15,1,3
schmidt et al._2013_804,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,1,schmidt et al._2013_13,schmidt et al._2013_16,1,4
schmidt et al._2013_805,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,1,schmidt et al._2013_13,schmidt et al._2013_17,2,4
schmidt et al._2013_806,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,1,schmidt et al._2013_13,schmidt et al._2013_18,2,4
schmidt et al._2013_807,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,1,schmidt et al._2013_13,schmidt et al._2013_19,2,4
schmidt et al._2013_808,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,1,schmidt et al._2013_13,schmidt et al._2013_20,2,3
schmidt et al._2013_809,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,1,schmidt et al._2013_13,schmidt et al._2013_21,1,3
schmidt et al._2013_810,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,1,schmidt et al._2013_13,schmidt et al._2013_22,2,4
schmidt et al._2013_811,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,2,schmidt et al._2013_12,schmidt et al._2013_13,2,4
schmidt et al._2013_812,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,2,schmidt et al._2013_13,schmidt et al._2013_14,2,4
schmidt et al._2013_813,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,2,schmidt et al._2013_13,schmidt et al._2013_15,2,4
schmidt et al._2013_814,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,2,schmidt et al._2013_13,schmidt et al._2013_16,2,3
schmidt et al._2013_815,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,2,schmidt et al._2013_13,schmidt et al._2013_17,2,4
schmidt et al._2013_816,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,2,schmidt et al._2013_13,schmidt et al._2013_18,2,4
schmidt et al._2013_817,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,2,schmidt et al._2013_13,schmidt et al._2013_19,2,4
schmidt et al._2013_818,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,2,schmidt et al._2013_13,schmidt et al._2013_20,2,4
schmidt et al._2013_819,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,2,schmidt et al._2013_13,schmidt et al._2013_21,1,4
schmidt et al._2013_820,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,2,schmidt et al._2013_13,schmidt et al._2013_22,2,4
schmidt et al._2013_821,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,3,schmidt et al._2013_12,schmidt et al._2013_13,2,3
schmidt et al._2013_822,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,3,schmidt et al._2013_13,schmidt et al._2013_14,2,4
schmidt et al._2013_823,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,3,schmidt et al._2013_13,schmidt et al._2013_15,2,4
schmidt et al._2013_824,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,3,schmidt et al._2013_13,schmidt et al._2013_16,1,4
schmidt et al._2013_825,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,3,schmidt et al._2013_13,schmidt et al._2013_17,2,4
schmidt et al._2013_826,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,3,schmidt et al._2013_13,schmidt et al._2013_18,2,4
schmidt et al._2013_827,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,3,schmidt et al._2013_13,schmidt et al._2013_19,2,4
schmidt et al._2013_828,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,3,schmidt et al._2013_13,schmidt et al._2013_20,2,4
schmidt et al._2013_829,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,3,schmidt et al._2013_13,schmidt et al._2013_21,2,4
schmidt et al._2013_830,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,3,schmidt et al._2013_13,schmidt et al._2013_22,2,4
schmidt et al._2013_831,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,4,schmidt et al._2013_12,schmidt et al._2013_13,2,4
schmidt et al._2013_832,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,4,schmidt et al._2013_13,schmidt et al._2013_14,2,3
schmidt et al._2013_833,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,4,schmidt et al._2013_13,schmidt et al._2013_15,2,4
schmidt et al._2013_834,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,4,schmidt et al._2013_13,schmidt et al._2013_16,1,4
schmidt et al._2013_835,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,4,schmidt et al._2013_13,schmidt et al._2013_17,2,4
schmidt et al._2013_836,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,4,schmidt et al._2013_13,schmidt et al._2013_18,2,3
schmidt et al._2013_837,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,4,schmidt et al._2013_13,schmidt et al._2013_19,2,4
schmidt et al._2013_838,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,4,schmidt et al._2013_13,schmidt et al._2013_20,2,4
schmidt et al._2013_839,schmidt et al._2013,Random Match Protocol, Phase I, Game CO2,NFGDZ2-3.edf,4,schmidt et al._2013_13,schmidt et al._2013_21,1,4
