match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
schmidt et al._2013_39,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_209,schmidt et al._2013_210,2,3
schmidt et al._2013_40,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_211,schmidt et al._2013_212,2,3
schmidt et al._2013_41,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_213,schmidt et al._2013_214,2,4
schmidt et al._2013_42,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_215,schmidt et al._2013_216,2,3
schmidt et al._2013_43,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_217,schmidt et al._2013_218,2,4
schmidt et al._2013_44,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_219,schmidt et al._2013_220,1,3
schmidt et al._2013_45,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_221,schmidt et al._2013_222,2,4
schmidt et al._2013_46,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_223,schmidt et al._2013_224,1,4
schmidt et al._2013_47,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_225,schmidt et al._2013_226,1,4
schmidt et al._2013_48,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_227,schmidt et al._2013_228,1,4
schmidt et al._2013_49,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_229,schmidt et al._2013_230,1,4
schmidt et al._2013_50,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_231,schmidt et al._2013_232,2,4
schmidt et al._2013_51,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_233,schmidt et al._2013_234,2,3
schmidt et al._2013_52,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_235,schmidt et al._2013_236,2,4
schmidt et al._2013_53,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_237,schmidt et al._2013_238,2,4
schmidt et al._2013_54,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_239,schmidt et al._2013_240,1,4
schmidt et al._2013_55,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_241,schmidt et al._2013_242,2,4
schmidt et al._2013_56,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_243,schmidt et al._2013_244,1,3
schmidt et al._2013_57,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_245,schmidt et al._2013_246,2,4
schmidt et al._2013_58,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_247,schmidt et al._2013_248,2,3
schmidt et al._2013_59,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_249,schmidt et al._2013_250,2,3
schmidt et al._2013_60,schmidt et al._2013,One Shot Protocol, original, Game CO3,original,1,schmidt et al._2013_251,schmidt et al._2013_252,2,3
schmidt et al._2013_61,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_253,schmidt et al._2013_254,2,3
schmidt et al._2013_62,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_255,schmidt et al._2013_256,2,3
schmidt et al._2013_63,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_257,schmidt et al._2013_258,1,4
